id;opis;energia_(kcal);woda_(g);masa_kałowa_(g);białko_(g);tłuszcze_(g);węglowodany_(g);cukry_proste_(g);tłuszcze_nasycone_(g);witamina_d_(µg);----;----;----
5631;EMU,OYSTER,RAW;141;72,57;0,95;22,81;4,86;0;0;1,231;;0,044488615829418;0,1911625;0
5632;EMU,TOP LOIN,CKD,BRLD;152;67,37;1,27;29,07;3,13;0;0;0,794;;0,024658385093168;0,2129875;0
5641;OSTRICH,GROUND,RAW;165;71,07;0,73;20,22;8,7;0;0;2,177;;0,075276625172891;0,213375;0
5642;OSTRICH,GROUND,CKD,PAN-BROILED;175;67,12;0,83;26,15;7,07;0;0;1,793;0,1;0,053973509933775;0,2341375;0
5643;OSTRICH,FAN,RAW;117;75,93;0,61;21,81;2,65;0;0;0,95;;0,038838920686836;0,1628125;0
5644;OSTRICH,INSIDE LEG,RAW;111;75,97;0,61;22,39;1,72;0;0;0,6;;0,024885939444214;0,1571375;0
5645;OSTRICH,INSIDE LEG,CKD;141;69,95;0,76;29,01;1,94;0;0;0,7;;0,022617124394184;0,2007125;0
5646;OSTRICH,INSIDE STRIP,RAW;127;74,16;1,22;23,69;2,87;0;0;0,923;;0,034751506024096;0,1767625;0
5647;OSTRICH,INSIDE STRIP,CKD;164;66,53;0,85;29,37;4,26;0;0;1,71;;0,050847457627119;0,2261625;0
5648;OSTRICH,OUTSIDE LEG,RAW;115;75,59;0,62;22,86;1,96;0;0;0,61;;0,024576954069299;0,162475;0
5649;OSTRICH,OUTSIDE STRIP,RAW;120;74,58;1,13;23,36;2,21;0;0;0,771;;0,03015252248729;0,1681;0
5650;OSTRICH,OUTSIDE STRIP,CKD;156;66,88;0,83;28,55;3,83;0;0;1,43;;0,044163063619518;0,2167375;0
5651;OSTRICH,OYSTER,RAW;125;75,62;0,62;21,55;3,67;0;0;1,22;;0,048374306106265;0,1713875;0
5652;OSTRICH,OYSTER,CKD;159;67,55;0,82;28,81;3,97;0;0;1,69;;0,051555826723612;0,2197625;0
5653;OSTRICH,RND,RAW;116;75,68;0,62;21,99;2,4;0;0;0,81;;0,033210332103321;0,1614375;0
5654;OSTRICH,TENDERLOIN,RAW;123;74,5;0,73;22,07;3,19;0;0;1,17;;0,046318289786223;0,1698375;0
5655;OSTRICH,TIP RAW;114;76,12;0,61;21,85;2,3;0;0;0,86;;0,035610766045549;0,1595625;0
5656;OSTRICH,TIP CKD;145;68,51;0,83;28,49;2,57;0;0;1;;0,032195750160979;0,2037625;0
5657;OSTRICH,TOP LOIN,RAW;119;75,35;0,73;21,67;2,95;0;0;1,2;;0,048740861088546;0,1649375;0
5658;OSTRICH,TOP LOIN,CKD;155;67,95;0,83;28,12;3,87;0;0;1,32;;0,04126289465458;0,21445;0
5661;CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED;172;65,22;1,47;25,78;6,43;1,11;0;2,033;;0,061014405762305;0,2295875;0
5662;GROUND TURKEY,FAT FREE,RAW;112;74,66;1,15;23,57;1,95;0;0;0,487;0,4;0,019083072100314;0,1668125;0
5663;GROUND TURKEY,FAT FREE,PAN-BROILED CRUMBLES;151;65,76;1,42;31,69;2,71;0;0;0,717;0,2;0,020843023255814;0,2251625;0
5664;GROUND TURKEY,FAT FREE,PATTIES,BRLD;138;68,4;1,29;28,99;2,48;0;0;0,673;0,2;0,021385446456943;0,2059875;0
5665;GROUND TURKEY,93% LN,7% FAT,RAW;150;72,63;0,92;18,73;8,34;0;0;2,17;0,4;0,080162541558921;0,2004625;0
5666;GROUND TURKEY,93% LN,7% FAT,PAN-BROILED CRUMBLES;213;61,05;1,27;27,1;11,6;0;0;2,966;0,2;0,076640826873385;0,285375;0
5667;GROUND TURKEY,93% LN,7% FAT,PATTIES,BRLD;207;62,42;1,07;25,86;11,45;0;0;2,958;0,2;0,07928169391584;0,276125;0
5668;GROUND TURKEY,85% LN,15% FAT,RAW;180;69,74;0,96;16,9;12,54;0;0;3,414;0,4;0,115964673913043;0,231025;0
5669;GROUND TURKEY,85% LN,15% FAT,PAN-BROILED CRUMBLES;258;56,66;1,32;25,11;17,45;0;0;4,572;0,2;0,107424812030075;0,3314375;0
5670;GROUND TURKEY,85% LN,15% FAT,PATTIES,BRLD;249;58,25;1,2;25,88;16,2;0;0;4,127;0,2;0,098075095057034;0,32375;0
5671;CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT OLY,CKD,BRSD;149;69,94;0,98;23,93;5,95;0;0;1,601;0,1;0,053580990629183;0,2090625;0
5672;CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT ONLY,CKD,BRSD;176;66,87;0,99;24,55;8,63;0;0;2,346;0,3;0,070705244122966;0,2397375;0
5673;CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,BRSD;443;42,09;0,63;14,61;42,76;0;0;11,914;0,1;0,20766951368311;0,5189125;0
5674;CHICKEN,SKN (DRUMSTICKS & THIGHS),RAW;440;44,91;0,49;9,58;44,23;0,79;0;12,102;0,2;0,221648351648352;0,5051375;0
5675;CHICKEN,SKN (DRUMSTICKS & THIGHS),CKD,RSTD;462;39,45;0,72;16,57;43,99;0;0;12,146;0,2;0,20056142668428;0,5434625;0
5676;CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MT & SKN,CKD,BRSD;187;66,33;0,93;22,72;10,73;0;0;2,939;0,1;0,087862481315396;0,2493;0
5677;CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT & SKN,CKD,BRSD;229;61,93;0,91;22,57;15,43;0;0;4,253;0,3;0,111921052631579;0,2953625;0
5678;CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,W/ ADDED SOLN,RAW;106;77,71;0,99;19,19;3,26;0;0;0,954;0,2;0,04249443207127;0,1525375;0
5679;CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD;146;69,5;1,19;25,34;5;0;0;1,438;0,1;0,047396176664469;0,208375;0
5680;CHICKEN,DK MEAT,DRUMSTK,MEAT ONLY,W/ ADDED SOLN,CKD,BRSD;149;70,18;1,13;22,99;6,33;0;0;1,73;0,1;0,059004092769441;0,2069875;0
5681;CHICKEN,DK MEAT,THIGH,MEAT ONLY,W/ ADDED SOLN,CKD,BRSD;164;68,62;1,19;23;7,96;0;0;2,04;0,3;0,065891472868217;0,22335;0
5682;CHICKEN,DK MEAT,THIGH,MEAT ONLY,W/ ADDED SOLN,RAW;110;77,16;1,04;19,11;3,69;0;0;0,899;0,1;0,039429824561404;0,1563375;0
5683;CHICKEN,DK MEAT,THIGH,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD;164;67,86;1,19;24,23;7,73;0;0;2,405;0,3;0,075250312891114;0,2287375;0
5684;CHICKEN,SKN (DRUMSTICKS & THIGHS),W/ ADDED SOLN,CKD,BRSD;403;46,96;0,84;12,26;38,94;1;0;10,605;0,1;0,20316091954023;0,469775;0
5685;CHICKEN,SKN (DRUMSTICKS & THIGHS),W/ ADDED SOLN,RAW;386;50,37;0,6;11,11;37,9;0,01;0;10,565;0,4;0,215524275805794;0,448475;0
5686;CHICKEN,SKN (DRUMSTICKS & THIGHS),W/ ADDED SOLN,CKD,RSTD;421;40,73;0,91;20,31;37,6;0,44;0;11;0,1;0,188517566409597;0,5045875;0
5687;CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,W/ ADDED SOLN,CKD,BRSD;183;67,06;1,09;21,55;10,71;0,13;0;2,923;0,1;0,090243902439024;0,242275;0
5688;CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,W/ ADDED SOLN,RAW;146;73,79;0,94;18,03;8,24;0;0;2,334;0,2;0,088846593071945;0,1950875;0
5689;CHICKEN,DK MEAT,DRUMSTK,MEAT & SKN,W/ ADDED SOLN,CKD,RSTD;180;65,97;1,16;24,72;9;0,05;0;2,656;0,2;0,078649689073142;0,2446875;0
5690;CHICKEN,DK MEAT,THIGH,MEAT & SKN,W/ ADDED SOLN,CKD,BRSD;215;63,97;1,12;20,7;14,62;0,21;0;3,881;0,3;0,109231635237827;0,2763625;0
5691;CHICKEN,DK MEAT,THIGH,MEAT & SKN,W/ ADDED SOLN,RAW;197;68,63;0,9;16,56;14,58;0;0;3,975;0,2;0,127649325626204;0,2493;0
5692;CHICKEN,DK MEAT,THIGH,MEAT & SKN,W/ ADDED SOLN,CKD,RSTD;214;62,6;1,14;23,47;13,81;0,09;0;4,145;0,3;0,110917848541611;0,285125;0
5693;CHICKEN,BROILER,ROTISSERIE,BBQ,BACK MEAT ONLY;212;62,96;1,4;21,85;13,87;0,31;0,31;3,613;0;0,108881487649181;0,276425;1
5694;TURKEY,DK MEAT FROM WHL,MEAT ONLY,W/ ADDED SOLN,RAW;115;75,86;1,19;19,27;4,12;0,1;0,1;1,124;0,3;0,052107279693487;0,1620125;1
5695;TURKEY,DK MEAT,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD;158;66,85;1,24;26,1;6;0;0;1,807;0,3;0,056292834890966;0,223125;0
5696;TURKEY FROM WHL,LT MEAT,MEAT ONLY,W/ ADDED SOLN,RAW;101;76,42;1,42;21,54;1,66;0;0,05;0,536;0,1;0,025258620689655;0,151225;0
5697;TURKEY FROM WHL,LT MEAT,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD;127;70,18;1,44;26,97;2,08;0;0;0,593;0,3;0,020413080895009;0,1893625;0
5698;TURKEY,SKN FROM WHL (LIGHT & DARK),W/ ADDED SOLN,RAW;381;50;0,69;12,29;36,8;0,21;0,1;10,43;1,1;0,213590263691684;0,4456;2,1
5699;TURKEY,SKN FROM WHL,(LIGHT & DARK),W/ ADDED SOLN,RSTD;451;36,92;1,37;22,15;40,31;0;0;11,356;1,4;0,181812359910343;0,5415375;0
5700;TURKEY,DK MEAT FROM WHL,MEAT & SKN,W/ ADDED SOLN,RAW;169;70,55;1,08;17,84;10,83;0,15;0,1;2,6;0,5;0,093684941013185;0,2203625;1,5
5701;TURKEY,DK MEAT FROM WHL,MEAT & SKN,W/ ADDED SOLN,CKD,RSTD;199;62,66;1,26;25,55;10,81;0;0;3,145;0,4;0,086496149614962;0,2677875;0
5702;TURKEY FROM WHL,LT MEAT,MEAT & SKN,W/ ADDED SOLN,RAW;147;72,09;1,31;20,02;7,42;0,14;0,06;1,35;0,3;0,051124002900653;0,19985;2,33333333333333
5703;TURKEY FROM WHL,LT MEAT,MEAT & SKN,W/ ADDED SOLN,CKD,RSTD;157;67,09;1,43;26,52;5,64;0;0;1,593;0,4;0,049533582089552;0,22215;0
5704;TURKEY,WHL,MEAT ONLY,W/ ADDED SOLN,RAW;105;76,25;1,35;20,87;2,39;0,14;0,06;0,535;0,2;0,025427350427351;0,1548625;2,33333333333333
5705;TURKEY,WHL,MEAT ONLY,W/ ADDED SOLN,RSTD;140;68,81;1,36;26,61;3,7;0;0;1,093;0,3;0,036060706037611;0,2033125;0
5706;TURKEY,WHL,MEAT & SKN,W/ ADDED SOLN,RAW;158;71,26;1,21;19,03;9,1;0,15;0,08;1,7;0,4;0,062942008486563;0,2105;1,875
5707;TURKEY,WHL,MEAT & SKN,W/ ADDED SOLN,RSTD;176;65,05;1,36;26,09;8,01;0;0;2,301;0,4;0,067478005865103;0,2431625;0
5708;TURKEY,RTL PARTS,BREAST,MEAT ONLY,W/ ADDED SOLN,RAW;111;75,95;1,19;21,99;2,53;0;0;0,6;0,2;0,024469820554649;0,1627375;0
5709;TURKEY,RTL PARTS,BREAST,MEAT ONLY,W/ ADDED SOLN,CKD,RSTD;130;69,99;1,4;27,94;2,08;0;0;0,428;0,1;0,014257161892072;0,195425;0
5710;TURKEY,RTL PARTS,BREAST,MEAT ONLY,RAW;114;74,66;1,06;23,34;2,33;0;0;0,344;0,2;0,013400857031554;0,169175;0
5711;TURKEY,RTL PARTS,BREAST,MEAT ONLY,CKD,RSTD;136;67,53;1,25;29,51;1,97;0;0;0,66;0,2;0,020965692503177;0,2041375;0
5712;TURKEY,RTL PARTS,WING,MEAT ONLY,RAW;112;75,05;0,94;22,48;2,49;0;0;0,458;0,2;0,018342010412495;0,1654;0
5713;TURKEY,RTL PARTS,WING,MEAT ONLY,CKD,RSTD;170;64,04;1,05;30,17;5,51;0;0;1,357;0,7;0,038032511210762;0,2436625;0
5714;TURKEY,SKN,FROM RTL PARTS,FROM DK MEAT,RAW;380;50,08;0,49;14,35;35,83;0;0;10,216;0,7;0,203587086488641;0,4479875;0
5715;TURKEY,SKN,FROM RTL PARTS,FROM DK MEAT,CKD,RSTD;414;39,42;1,15;24,58;35,03;0;0;10,184;0,8;0,170843818151317;0,503925;0
5716;TURKEY,RTL PARTS,DRUMSTK,MEAT ONLY,RAW;118;75,67;0,91;20,52;3,97;0;0;1,073;0,4;0,043813801551654;0,16795;0
5717;TURKEY,RTL PARTS,THIGH,MEAT ONLY,RAW;116;75,62;1,03;20,6;3,69;0;0;0,782;0,5;0,03219431864965;0,16565;0
5718;TURKEY,BREAST,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD;127;70,18;1,44;26,97;2,08;0;0;0,593;0,3;0,020413080895009;0,1893625;0
5719;TURKEY,BACK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW;115;75,86;1,19;19,27;4,12;0,15;0,1;1,124;0,3;0,051996601529312;0,1622;1,5
5720;TURKEY,BACK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD;127;70,18;1,44;26,97;2,08;0;0;0,593;0,3;0,020413080895009;0,1893625;0
5721;TURKEY,BREAST,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW;102;76,42;1,42;21,54;1,66;0,14;0,05;0,536;0,1;0,025107112253642;0,15175;2,8
5722;TURKEY,RTL PARTS,THIGH,MEAT ONLY,CKD,RSTD;159;66,98;1,18;25,14;6,25;0,46;0;2,02;0,3;0,063422291993721;0,22135;0
5723;TURKEY,RTL PARTS,DRUMSTK,MEAT ONLY,CKD,RSTD;173;65,14;1,06;28,61;6,52;0;0;1,707;0,3;0,048590947907771;0,2440125;0
5724;TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW;115;75,86;1,19;19,27;4,12;0,15;0,1;1,124;0,3;0,051996601529312;0,1622;1,5
5725;TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD;158;66,85;1,24;26,1;6;0;0;1,807;0,3;0,056292834890966;0,223125;0
5726;TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW;115;75,86;1,19;19,27;4,12;0,15;0,1;1,124;0,3;0,051996601529312;0,1622;1,5
5727;TURKEY,RTL PARTS,BREAST,MEAT & SKN,W/ ADDED SOLN,RAW;144;72,76;1,13;20,79;6,75;0,03;0,01;1,24;0,3;0,045339136742837;0,19755;3
5728;TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD;158;66,85;1,24;26,1;6;0;0;1,807;0,3;0,056292834890966;0,223125;0
5729;TURKEY,WING,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RAW;102;76,42;1,42;21,54;1,66;0,14;0,05;0,536;0,1;0,025107112253642;0,15175;2,8
5730;TURKEY,WING,FROM WHL BIRD,MEAT ONLY,W/ ADDED SOLN,RSTD;127;70,18;1,44;26,97;2,08;0;0;0,593;0,3;0,020413080895009;0,1893625;0
5732;TURKEY,RTL PARTS,BREAST,MEAT & SKN,RAW;155;70,98;0,98;21,88;7,45;0;0;1,756;0,3;0,059870439822707;0,21125;0
5733;TURKEY,RTL PARTS,BREAST,MEAT & SKN,CKD,RSTD;164;64,59;1,25;29,01;5,33;0,05;0;1,657;0,3;0,048182611224193;0,2348;0
5734;TURKEY,RTL PARTS,WING,MEAT & SKN,RAW;202;66,78;0,81;19,53;13,79;0,05;0,03;3,549;0,5;0,107252022774948;0,26015;1,66666666666667
5735;TURKEY,RTL PARTS,WING,MEAT & SKN,CKD,RSTD;235;57,34;1,1;28,74;13,29;0,13;0;3,656;0,8;0,086717267552182;0,3130125;0
5736;TURKEY,RTL PARTS,DRUMSTK,MEAT & SKN,RAW;141;73,37;0,88;19,96;6,84;0;0;1,896;0,5;0,070746268656717;0,19315;0
5737;TURKEY,RTL PARTS,DRUMSTK,MEAT & SKN,CKD,RSTD;197;62,57;1,07;28,21;9,37;0;0;2,307;0,3;0,061389036721661;0,2700125;0
5738;TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,RAW;109;74,89;1,04;23,66;1,48;0,14;0,05;0,289;0,1;0,013409810126582;0,1632;2,8
5739;TURKEY,DRUMSTK,FROM WHL BIRD,MEAT ONLY,RSTD;139;67,88;1,22;30,13;2,08;0;0;0,593;0,3;0,018410431542999;0,2091125;0
5740;TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RAW;108;76,01;1,03;21,28;2,5;0,15;0,1;0,683;0,3;0,032720434600919;0,1585625;1,5
5741;TURKEY,THIGH,FROM WHL BIRD,MEAT ONLY,RSTD;165;65,23;1,12;27,71;6,04;0;0;1,807;0,3;0,053540740740741;0,2335875;0
5742;TURKEY,RTL PARTS,THIGH,MEAT & SKN,RAW;161;71,28;0,94;19,54;9,16;0;0;2,386;0,5;0,083135888501742;0,213725;0
5743;TURKEY,RTL PARTS,THIGH,MEAT & SKN,CKD,RSTD;183;65,12;1,1;23,95;9,5;0,41;0;2,96;0,3;0,087418783225044;0,246225;0
5744;TURKEY,BACK,FROM WHL BIRD,MEAT & SKN,W/ ADDED SOLN,RAW;206;66,93;1,02;16,86;15,41;0,15;0,1;2,73;0,6;0,087291795188156;0,2600375;1,5
5745;TURKEY,BACK,FROM WHL BIRD,MEAT & SKN,W/ ADDED SOLN,RSTD;205;62,1;1,42;25,8;11,36;0;0;3,205;0,5;0,086248654467169;0,27485;0
5746;CHICkN,BROILR OR FRYRS,BRST,SKNLSS,BNLESS,MEAT ONLY,CKD,BRSD;157;65,32;1,19;32,06;3,24;0;0;1,01;0;0,028611898016997;0,232775;0
5747;CHCKN,BROLR OR FRYRS,BRST,SKNLSS,BNLESS,MEAT ONLY,CKD,GRILLD;151;66,14;1,33;30,54;3,17;0;0;0,992;0;0,029427469593592;0,222575;0
5748;CKN,BRLER OR FRYERS,BRST,SKNLS,BNLS,MT ONLY,W ADDED SLN,BRSD;145;68,05;1,32;28,24;3,61;0;0;1,193;0;0,0374568288854;0,2126;0
5749;CKN,BRLER/FRYERS,BRST,SKNLS,BNLS,MT ONLY,W ADDED SLN,GRILLED;148;66,54;1,68;29,5;3,39;0;0;1,012;0;0,030769230769231;0,218275;0
6001;SOUP,CRM OF ASPARAGUS,CND,COND;69;84,05;2,35;1,82;3,26;8,52;0,72;0,82;0;0,113235294117647;0,075925;11,8333333333333
6002;SOUP,BLACK BEAN,CND,COND;91;75,33;3,1;4,83;1,32;15,42;2,49;0,34;;0,131200741770978;0,1012125;6,19277108433735
6003;CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND;40;88;3,27;2,38;1,59;4,76;0,79;0,397;;0,135967926689576;0,048625;6,0253164556962
6004;SOUP,BEAN W/ PORK,CND,COND;129;70,17;2,57;5,88;4,42;16,97;3;1,14;0;0,151815181518152;0,1445875;5,65666666666667
6006;SOUP,BEAN W/ FRANKFURTERS,CND,COND;142;67,7;2,64;7,6;5,31;16,75;;1,61;;0,05428186109238;0,1634125;0
6007;SOUP,BEAN W/ HAM,CND,CHUNKY,RTS;95;78,63;1,52;5,19;3,5;11,16;;1,37;;0,069017632241814;0,1092875;0
6008;SOUP,BF BROTH OR BOUILLON CND,RTS;7;97,55;1,05;1,14;0,22;0,04;0;0,11;0;0,078571428571429;0,009475;0
6009;SOUP,BF NOODLE,CND,COND;67;84,42;2,12;3,85;2,46;7,16;2,06;0,91;0;0,220489977728285;0,0755125;3,47572815533981
6010;SOUP,CRM OF CELERY,CND,COND;72;84,96;2,23;1,32;4,46;7,03;1,35;1,12;0;0,192818110850898;0,0792125;5,20740740740741
6011;SOUP,CHS,CND,COND;82;81,69;2,29;0,8;3,92;11,3;3,73;2,45;0;0,385767790262172;0,086575;3,02949061662198
6013;SOUP,CHICK BROTH,CND,COND;31;91,96;1,83;4,42;1,04;0,75;0,35;0,31;0;0,106280193236715;0,0408375;2,14285714285714
6014;CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND;81;83,1;1,98;1,61;3,63;9,68;2,42;1,613;;0,270308310991957;0,0826625;4
6015;SOUP,CHICK,CND,CHUNKY,RTS;71;84,12;1,31;5,06;2,64;6,88;0,87;0,79;0;0,113854595336077;0,083825;7,90804597701149
6016;SOUP,CRM OF CHICK,CND,COND;90;82,75;1,95;2,38;5,77;7,16;0,54;1,697;0;0,146113651208361;0,099425;13,2592592592593
6017;SOUP,CHICK GUMBO,CND,COND;45;88,02;2,07;2,1;1,14;6,67;1,93;0,26;;0,220988900100908;0,0495375;3,4559585492228
6018;SOUP,CHUNKY CHICK NOODLE,CND,RTS;41;89,88;1,4;3,09;1,16;4,46;0,38;0,627;0;0,115614236509759;0,0476375;11,7368421052632
6019;SOUP,CHICK NOODLE,CND,COND;48;88,2;1,81;2,37;1,55;6,07;0;0,389;0;0,038938938938939;0,053075;0
6022;SOUP,CHICK RICE,CND,CHUNKY,RTS;53;86,78;1,37;5,11;1,33;5,41;0,6;0,4;0;0,084388185654009;0,065525;9,01666666666667
6023;SOUP,CHICK W/ RICE,CND,COND;68;83,15;1,88;1,84;1,56;11,57;0,23;0,37;0;0,040080160320641;0,0704875;50,304347826087
6024;SOUP,CHICK & VEG,CND,RTS;33;91,68;0,93;1,97;0,73;4,68;1,01;0,121;0;0,153252032520325;0,0371625;4,63366336633663
6025;SOUP,CHICK VEG,CND,COND;61;85,52;2,22;2,94;2,32;7,01;1,26;0,69;0;0,158924205378973;0,0678625;5,56349206349206
6026;SOUP,CHILI BF,CND,COND;117;70,86;2,69;5,09;2,53;18,86;5,09;1,242;;0,239123867069486;0,1278375;3,70530451866405
6027;SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS;56;86,04;1,69;3,02;1,41;7,84;1,67;0,88;0;0,207823960880196;0,062375;4,69461077844311
6028;SOUP,CLAM CHOWDER,MANHATTAN,CND,COND;61;84,3;2,46;1,74;1,76;9,74;2,7;0,305;;0,226963746223565;0,065;3,60740740740741
6029;CAMPBELL'S,HEALTHY REQUEST,CHICK W/ RICE,COND;46;88,8;1,23;1,59;1,19;7,19;0,79;0,397;0;0,119057171514544;0,0488;9,10126582278481
6030;SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND;72;81,49;2,96;3,17;2,06;10,32;0,38;0,959;0;0,086109324758843;0,0791125;27,1578947368421
6032;SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND;11;94,76;2,4;2,52;0;0,32;0;0;;0;0,01695;0
6037;SOUP,LENTIL W/HAM,CND,RTS;56;85,75;1,24;3,74;1,12;8,16;;0,45;;0,034562211981567;0,065175;0
6038;CAMPBELL'S,CHEDDAR CHS SOUP,COND;84;81,69;2,29;0,8;3,92;11,44;3,73;1,13;;0,300742574257426;0,0871;3,06702412868633
6039;SOUP,MINESTRONE,CND,CHUNKY,RTS;53;86,72;1,35;2,13;1,17;8,64;2,17;0,62;0;0,233668341708543;0,0574125;3,9815668202765
6040;SOUP,MINESTRONE,CND,COND;68;82,95;2,35;3,48;2,05;9,17;1,5;0,44;0;0,131972789115646;0,0766375;6,11333333333333
6041;CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND;56;86,4;1,3;2,38;1,98;7,94;0,79;0,794;;0,128780487804878;0,06445;10,0506329113924
6042;SOUP,MUSHROOM BARLEY,CND,COND;61;84,9;2,2;1,5;1,8;9,6;;0,35;;0,027131782945737;0,063375;0
6043;SOUP,CRM OF MUSHROOM,CND,COND;79;84,7;1,85;1,35;5,3;6,8;0,4;0,964;0,2;0,101412639405204;0,0869375;17
6044;SOUP,MUSHROOM W/ BF STOCK,CND,COND;68;84,6;2,27;2,51;3,21;7,41;2,28;1,24;0;0,268088347296268;0,075575;3,25
6045;SOUP,ONION,CND,COND;46;86,35;2,49;3,06;1,42;6,68;2,72;0,21;0;0,262544802867383;0,058375;2,45588235294118
6046;SOUP,CRM OF ONION,CND,COND;88;81;2,2;2,2;4,2;10,4;3,64;1,17;0;0,286309523809524;0,09475;2,85714285714286
6047;CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND;56;86;1,3;2,38;1,59;8,73;0,79;0,397;;0,093464566929134;0,0635125;11,0506329113924
6048;SOUP,OYSTER STEW,CND,COND;48;89,88;1,95;1,72;3,13;3,32;;2,04;;0,24969400244798;0,0545;0
6049;SOUP,PEA,GRN,CND,COND;125;68,54;2,51;6,54;2,23;20,18;6,52;1,07;0;0,262176165803109;0,13885;3,09509202453988
6050;SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS;77;80,95;1,6;4,62;1,66;11,17;1,91;0,66;0;0,147277936962751;0,0873625;5,84816753926702
6051;SOUP,PEA,SPLIT W/ HAM,CND,COND;141;65,67;2,57;7,68;3,28;20,81;;1,31;;0,041233868429336;0,1588375;0
6053;SOUP,CRM OF POTATO,CND,COND;74;82;1,82;1,51;1,88;12,79;1,44;0,97;0;0,148949320148331;0,0762;8,88194444444444
6054;CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND;56;84,4;2,5;2,38;1,19;9,52;0,79;0,397;;0,090679908326967;0,062475;12,0506329113924
6056;SOUP,CRM OF SHRIMP,CND,COND;72;84,85;2,26;2,22;4,14;6,53;;2,58;;0,200155159038014;0,0797625;0
6057;CAMPBELL'S RED&WHITE,CHICK BROTH,COND;16;95,9;0,62;0,81;0,81;0,81;0,81;0;;0,333333333333333;0,0162;1
6058;CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND;48;86,4;3,28;1,59;0,79;7,94;1,59;0,397;;0,192538759689922;0,0476125;4,9937106918239
6061;SOUP,TOMATO BF W/ NOODLE,CND,COND;112;74,08;2,08;3,55;3,42;16,87;;1,27;;0,053271812080537;0,11965;0
6062;CAMPBELL'S,RED & WHITE,CHICK NOODLE SOUP,COND;47;88,32;1,8;2,37;1,53;5,97;0;0,388;;0,039311043566363;0,0525;0
6063;SOUP,TOMATO RICE,CND,COND;93;77,13;2,03;1,64;2,12;17,08;5,9;0,4;0;0,302303262955854;0,0955;2,89491525423729
6064;SOUP,TURKEY,CHUNKY,CND,RTS;57;86,37;1,47;4,33;1,87;5,96;;0,52;;0,042763157894737;0,0681125;0
6067;SOUP,CHUNKY VEG,CND,RTS;39;89,53;1,07;1,14;0,36;7,9;1,56;0,045;0;0,170744680851064;0,04035;5,06410256410256
6068;SOUP,VEGETARIAN VEG,CND,COND;59;84,91;2,02;1,72;1,58;9,78;3,13;0,24;0;0,257645259938838;0,063225;3,12460063897764
6070;SOUP,CHUNKY BF,CND,RTS;66;83,34;1,49;3,97;1,11;10,08;0,67;0,554;0;0,080738786279683;0,0737125;15,044776119403
6071;SOUP,VEG BF,CND,COND;63;83,69;2,25;4,45;1,51;8,11;0,89;0,68;0;0,111584932480455;0,073325;9,1123595505618
6072;SOUP,VEG W/ BF BROTH,CND,COND;66;83,27;2,06;2,42;1,56;10,7;1,64;0,36;0;0,136239782016349;0,07085;6,52439024390244
6075;SOUP,BF BROTH OR BOUILLON,PDR,DRY;213;3,27;54,5;15,97;8,89;17,4;16,71;4,32;0;0,497633696166588;0,2539625;1,04129263913824
6076;SOUP,BEEF BROTH,CUBED,DRY;170;3,3;59,3;17,3;4;16,1;14,51;1,99;0;0,441176470588235;0,2085;1,10957960027567
